2023-03-14 14:02:51 startup archives install
2023-03-14 14:02:52 install base-passwd:amd64 <none> 3.6.1
2023-03-14 14:02:52 status half-installed base-passwd:amd64 3.6.1
2023-03-14 14:02:52 status unpacked base-passwd:amd64 3.6.1
2023-03-14 14:02:52 configure base-passwd:amd64 3.6.1 3.6.1
2023-03-14 14:02:52 status half-configured base-passwd:amd64 3.6.1
2023-03-14 14:02:52 status installed base-passwd:amd64 3.6.1
2023-03-14 14:02:52 startup archives install
2023-03-14 14:02:52 install base-files:amd64 <none> 12.3ubuntu1
2023-03-14 14:02:52 status half-installed base-files:amd64 12.3ubuntu1
2023-03-14 14:02:52 status unpacked base-files:amd64 12.3ubuntu1
2023-03-14 14:02:52 configure base-files:amd64 12.3ubuntu1 12.3ubuntu1
2023-03-14 14:02:52 status half-configured base-files:amd64 12.3ubuntu1
2023-03-14 14:02:52 status installed base-files:amd64 12.3ubuntu1
2023-03-14 14:02:52 startup archives install
2023-03-14 14:02:52 upgrade dpkg 1.21.21ubuntu1 1.21.21ubuntu1
2023-03-14 14:02:52 status half-configured dpkg 1.21.21ubuntu1
2023-03-14 14:02:52 status unpacked dpkg 1.21.21ubuntu1
2023-03-14 14:02:52 status half-installed dpkg 1.21.21ubuntu1
2023-03-14 14:02:52 status unpacked dpkg:amd64 1.21.21ubuntu1
2023-03-14 14:02:52 configure dpkg:amd64 1.21.21ubuntu1 1.21.21ubuntu1
2023-03-14 14:02:52 status half-configured dpkg:amd64 1.21.21ubuntu1
2023-03-14 14:02:52 status installed dpkg:amd64 1.21.21ubuntu1
2023-03-14 14:02:52 startup archives install
2023-03-14 14:02:52 install libc6:amd64 <none> 2.37-0ubuntu1
2023-03-14 14:02:52 status half-installed libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:52 status unpacked libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:52 configure libc6:amd64 2.37-0ubuntu1 2.37-0ubuntu1
2023-03-14 14:02:52 status half-configured libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:52 status installed libc6:amd64 2.37-0ubuntu1
2023-03-14 14:02:52 startup archives install
2023-03-14 14:02:52 install perl-base:amd64 <none> 5.36.0-7
2023-03-14 14:02:52 status half-installed perl-base:amd64 5.36.0-7
2023-03-14 14:02:52 status unpacked perl-base:amd64 5.36.0-7
2023-03-14 14:02:52 configure perl-base:amd64 5.36.0-7 5.36.0-7
2023-03-14 14:02:52 status half-configured perl-base:amd64 5.36.0-7
2023-03-14 14:02:52 status installed perl-base:amd64 5.36.0-7
2023-03-14 14:02:52 startup archives install
2023-03-14 14:02:52 install mawk:amd64 <none> 1.3.4.20200120-3.1
2023-03-14 14:02:52 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:52 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:52 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-03-14 14:02:52 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:52 status installed mawk:amd64 1.3.4.20200120-3.1
2023-03-14 14:02:52 startup archives unpack
2023-03-14 14:02:52 upgrade base-files:amd64 12.3ubuntu1 12.3ubuntu1
